Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-27,meta-close-above-660-on-january-26-2026,YES,,0.95,1.8149,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:41:24.040Z,1.81,0.09,
2026-01-27,msft-close-above-460-on-january-26-2026,YES,,0.99,1.7416,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:41:24.172Z,1.74,0.02,
2026-01-27,msft-up-or-down-on-january-26-2026,YES,,0.93,1.8539,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:41:24.510Z,1.85,0.13,
2026-01-27,aapl-close-above-250-on-january-26-2026,YES,,0.95,1.8149,1.72,2.25,2026-01-26T18:45:05.471Z,YES,2026-01-27T00:41:24.702Z,1.81,0.09,
2026-01-27,aapl-close-above-260-on-january-26-2026,NO,,0.99,1.7416,1.72,2.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:41:24.835Z,1.74,0.02,
2026-01-27,coin-up-or-down-on-january-26-2026,NO,,0.94,1.8342,1.72,2.25,2026-01-26T18:45:05.470Z,NO,2026-01-27T00:43:23.571Z,1.83,0.11,
2026-01-27,nvda-close-above-185-on-january-26-2026,YES,,0.92,1.8741,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:43:23.696Z,1.87,0.15,
2026-01-27,tsla-close-above-430-on-january-26-2026,YES,,0.95,1.8149,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:43:23.887Z,1.81,0.09,
2026-01-27,por-por-gil-2026-01-26-draw,NO,,0.81,2.1286,1.72,1.5,2026-01-26T18:45:05.471Z,NO,2026-01-27T01:29:26.129Z,2.13,0.4,
2026-01-27,por-por-gil-2026-01-26-gil,NO,,0.92,1.8741,1.72,1.5,2026-01-26T18:45:05.471Z,NO,2026-01-27T01:29:26.286Z,1.87,0.15,
2026-01-27,si-up-or-down-on-january-26-2026,YES,,0.998,1.7276,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T08:21:46.393Z,1.73,0,
,,,,,,49.88,,,,SUM,54.03,4.08,
2026-01-26,xrp-updown-15m-1769423400,YES,,0.89,3.5112,3.13,0.07,2026-01-26T10:41:47.048Z,YES,2026-01-26T10:51:48.013Z,3.51,0.39,
2026-01-26,solana-up-or-down-january-26-5am-et,YES,,0.978,3.1953,3.13,0.31,2026-01-26T10:41:47.050Z,YES,2026-01-26T12:05:55.101Z,3.2,0.07,
2026-01-26,lol-nsea-hle-2026-01-26,YES,,0.89,3.5112,3.13,3.31,2026-01-26T10:41:47.050Z,YES,2026-01-26T14:03:58.792Z,3.51,0.39,
2026-01-28,txn-quarterly-earnings-gaap-eps-01-27-2026-1pt31,YES,,0.86,9.6899,8.33,3.83,2026-01-27T18:10:10.780Z,NO,2026-01-28T00:10:28.893Z,0,-8.33,
2026-01-28,meta-up-or-down-on-january-27-2026,NO,,0.94,8.8652,8.33,2.84,2026-01-27T18:10:10.780Z,YES,2026-01-28T00:42:29.671Z,0,-8.33,
2026-01-28,amzn-up-or-down-on-january-27-2026,YES,,0.949,8.7812,8.33,2.84,2026-01-27T18:10:10.780Z,YES,2026-01-28T00:46:29.911Z,8.78,0.45,
2026-01-28,arg-vel-tal-2026-01-27-total-3pt5,NO,,0.86,9.6899,8.33,2.58,2026-01-27T18:10:10.780Z,NO,2026-01-28T00:50:30.400Z,9.69,1.36,
2026-01-28,arg-vel-tal-2026-01-27-total-4pt5,NO,,0.96,8.6806,8.33,2.58,2026-01-27T18:10:10.780Z,NO,2026-01-28T00:50:30.537Z,8.68,0.35,
2026-01-28,cbb-nwst-sfaus-2026-01-27,NO,,0.93,8.9606,8.33,2.83,2026-01-27T18:10:10.780Z,NO,2026-01-28T01:30:31.895Z,8.96,0.63,
,,,,,,,,,,,,-13.02,
2026-01-28,egy1-ems-ccc-2026-01-28-total-4pt5,NO,0.96,0.7659,0.74,0.77,2026-01-28T17:17:40.225Z,STOP_LOSS,2026-01-28T17:32:06.369Z,0.04,-0.7,-0.7,
2026-01-28,spl-ahl-ett-2026-01-28-total-1pt5,YES,0.86,0.855,0.74,0.21,2026-01-28T17:17:40.233Z,STOP_LOSS,2026-01-28T17:42:29.759Z,0.68,-0.05,-0.06,
2026-01-28,spl-fay-kha-2026-01-28-total-4pt5,NO,0.92,0.7992,0.74,0.21,2026-01-28T17:17:40.233Z,STOP_LOSS,2026-01-28T17:46:38.570Z,0.71,-0.02,-0.03,
2026-01-28,egy1-pyf-egs-2026-01-28-total-3pt5,NO,0.88,0.8356,0.74,0.77,2026-01-28T17:17:40.224Z,STOP_LOSS,2026-01-28T18:35:53.995Z,0.04,-0.69,-0.69,
2026-01-28,egy1-pyf-egs-2026-01-28-egs,NO,0.94,0.7822,0.74,0.76,2026-01-28T17:17:40.225Z,STOP_LOSS,2026-01-28T18:35:56.093Z,0.4,-0.34,-0.34,
2026-01-28,tsla-close-above-430-on-january-28-2026,YES,0.94,0.7822,0.74,3.8,2026-01-28T17:17:40.215Z,STOP_LOSS,2026-01-28T18:39:46.316Z,0.61,-0.13,-0.13,
2026-01-28,amzn-close-above-245-on-january-28-2026,NO,0.91,0.808,0.74,3.79,2026-01-28T17:17:40.221Z,STOP_LOSS,2026-01-28T18:59:51.336Z,0.63,-0.11,-0.11,
2026-01-28,egy1-ems-ccc-2026-01-28-total-3pt5,NO,0.82,0.8967,0.74,0.77,2026-01-28T17:17:40.224Z,STOP_LOSS,2026-01-28T19:03:53.405Z,0.2,-0.54,-0.54,
2026-01-28,nflx-up-or-down-on-january-28-2026,NO,0.94,0.7822,0.74,3.8,2026-01-28T17:17:40.218Z,STOP_LOSS,2026-01-28T19:11:47.999Z,0.62,-0.12,-0.12,
2026-01-28,coin-up-or-down-on-january-28-2026,NO,0.85,0.8651,0.74,3.81,2026-01-28T17:17:40.211Z,STOP_LOSS,2026-01-28T19:27:46.416Z,0.71,-0.03,-0.03,
2026-01-28,ucl-paf-slp-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.76,2026-01-28T17:17:40.226Z,STOP_LOSS,2026-01-28T19:35:55.781Z,0.67,-0.06,-0.07,
2026-01-28,ucl-ath1-spo1-2026-01-28-total-4pt5,NO,0.87,0.8452,0.74,2.74,2026-01-28T17:17:40.227Z,STOP_LOSS,2026-01-28T20:08:01.512Z,0.63,-0.11,-0.12,
2026-01-28,ucl-psg1-new1-2026-01-28-total-1pt5,YES,0.89,0.8262,0.74,2.72,2026-01-28T17:17:40.230Z,STOP_LOSS,2026-01-28T20:08:08.678Z,0.05,-0.69,-0.69,
2026-01-28,tsla-close-above-440-on-january-28-2026,NO,0.91,0.808,0.74,3.8,2026-01-28T17:17:40.215Z,STOP_LOSS,2026-01-28T20:11:48.317Z,0.19,-0.54,-0.54,
2026-01-28,ucl-psv1-bay-2026-01-28-psv1,NO,0.84,0.8754,0.74,2.72,2026-01-28T17:17:40.230Z,STOP_LOSS,2026-01-28T20:12:10.646Z,0.68,-0.05,-0.06,
2026-01-28,ucl-fcb1-kob1-2026-01-28-draw,NO,0.916,0.8027,0.74,2.72,2026-01-28T17:17:40.232Z,STOP_LOSS,2026-01-28T20:12:12.917Z,0.69,-0.04,-0.05,
2026-01-28,ucl-usg1-ata1-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.73,2026-01-28T17:17:40.228Z,STOP_LOSS,2026-01-28T20:16:01.083Z,0.65,-0.08,-0.09,
2026-01-28,ucl-asm-juv-2026-01-28-total-1pt5,YES,0.82,0.8967,0.74,2.73,2026-01-28T17:17:40.228Z,STOP_LOSS,2026-01-28T20:16:02.922Z,0.65,-0.08,-0.09,
2026-01-28,ucl-fra1-tot-2026-01-28-total-1pt5,YES,0.82,0.8967,0.74,2.72,2026-01-28T17:17:40.229Z,STOP_LOSS,2026-01-28T20:16:05.276Z,0.64,-0.1,-0.11,
2026-01-28,ucl-fcb1-kob1-2026-01-28-fcb1,YES,0.88,0.8356,0.74,2.72,2026-01-28T17:17:40.232Z,STOP_LOSS,2026-01-28T20:16:11.217Z,0.64,-0.09,-0.1,
2026-01-28,ucl-psv1-bay-2026-01-28-total-1pt5,YES,0.9,0.817,0.74,2.73,2026-01-28T17:17:40.229Z,STOP_LOSS,2026-01-28T20:18:10.116Z,0.66,-0.07,-0.08,
2026-01-28,ucl-bvb-int-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.73,2026-01-28T17:17:40.228Z,STOP_LOSS,2026-01-28T20:22:00.637Z,0.64,-0.1,-0.11,
2026-01-28,ucl-ben1-rma1-2026-01-28-total-1pt5,YES,0.85,0.8651,0.74,2.75,2026-01-28T17:17:40.227Z,STOP_LOSS,2026-01-28T20:26:02.723Z,0.64,-0.1,-0.1,
2026-01-28,ucl-psv1-bay-2026-01-28-draw,NO,0.81,0.9078,0.74,2.72,2026-01-28T17:17:40.230Z,STOP_LOSS,2026-01-28T20:26:06.921Z,0.67,-0.06,-0.07,
2026-01-28,ucl-nap1-cfc-2026-01-28-total-4pt5,NO,0.87,0.8452,0.74,2.73,2026-01-28T17:17:40.229Z,STOP_LOSS,2026-01-28T20:38:03.227Z,0.6,-0.14,-0.14,
2026-01-28,ucl-fcb1-kob1-2026-01-28-total-2pt5,YES,0.83,0.8859,0.74,2.76,2026-01-28T17:17:40.227Z,STOP_LOSS,2026-01-28T20:54:00.946Z,0.66,-0.08,-0.09,
2026-01-28,ucl-atm-bog1-2026-01-28-draw,NO,0.87,0.8452,0.74,2.71,2026-01-28T17:17:40.232Z,STOP_LOSS,2026-01-28T21:02:07.432Z,0.68,-0.05,-0.06,
2026-01-29,coin-up-or-down-on-january-28-2026,NO,0.85,0.8651,0.74,3.81,2026-01-29T08:05:57.524Z,NO,2026-01-29T08:08:00.618Z,0.87,0.13,0.12,
